# sdk/api-contract.tsv — the java/** and javax/** surface pico-jvm serves.
#
# GENERATED by picodroid-core's `api_contract_is_current` test
# (picodroid-core/src/native_handler/api_contract.rs) from the runtime's
# own tables; do not edit by hand. Regenerate with
#     scripts/gen-api-contract.sh
# after changing an SDK java/** class, BUILTIN_METHODS / BUILTIN_CLASS_NAMES /
# BUILTIN_INTERFACE_METHODS (jvm/src/native/mod.rs), BUILTIN_SUPER / BUILTIN_INTERFACES
# (jvm/src/interpreter/helpers.rs), or picodroid-core's
# PLATFORM_BUILTIN_METHODS / CONTRACT_HINTS / TOLERATED.
#
# Consumed by the Gradle task `verifyApiContract`
# (buildSrc/src/main/kotlin/picodroid/classfile/ApiContract.kt), which runs
# on every app's compiled classes before they are packed into a PAPK.
#
# Grammar (tab-separated):
#   owner                            the class resolves: new / checkcast /
#                                    instanceof / catch / super / interface /
#                                    ldc / array element / lambda SAM type
#   owner<TAB>name<TAB>desc          member served with exactly this descriptor
#   owner<TAB>name<TAB>              member served for any descriptor (native
#                                    dispatch is keyed on (class, name))
#   @extends<TAB>child<TAB>parent    builtin superclass edge (BUILTIN_SUPER)
#   @implements<TAB>class<TAB>iface  builtin interface edge (BUILTIN_INTERFACES)
#   @nameonly<TAB>class              resolves as a catch / super / cast type only,
#                                    never instantiated
#   @hint<TAB>owner|prefix*<TAB>name|<empty><TAB>text
#                                    advice printed beside a rejected reference
#
# Resolution (mirrors pico-jvm's dispatch_native): a member is served on an
# owner when a row matches on the owner, on any @extends ancestor, or on
# java/lang/Object; a member of an interface is served when a class that
# @implements it (transitively) serves it, or an app class implementing it
# declares it. A class-file-backed class also serves its declared members
# by inheritance in the usual way.
#
# ── Tolerated: accepted although not served (static shapes never executed) ──
#   java/lang/Enum.valueOf(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Enum; — the synthetic callee of every enum's valueOf(String); unsupported (compatibility matrix), never reached by the demos
#   java/util/Locale.ROOTLjava/util/Locale; — kotlinc's uppercase()/lowercase() pass it to String.toUpperCase(Locale); getstatic on a classfile-less class reads null and the arm ignores it
#   java/util/Locale.USLjava/util/Locale; — as ROOT
#   java/util/AbstractList (name only) — compile-time superclass of the kotlin-shim's EnumEntriesList; its <init> falls through to Object
#   java/lang/NoSuchFieldError (name only) — catch_type in every $WhenMappings / $SwitchMap; never thrown by this JVM
#   java/lang/CloneNotSupportedException (name only) — catch_type in every clone() override that calls super.clone(); Object.clone never throws it here
#
# ── Classes and members ──
java/io/IOException
java/io/InterruptedIOException
java/lang/Appendable
java/lang/ArithmeticException
java/lang/ArrayIndexOutOfBoundsException
java/lang/ArrayStoreException
java/lang/AutoCloseable
java/lang/AutoCloseable	close	()V
java/lang/Boolean
java/lang/Boolean	<init>	
java/lang/Boolean	booleanValue	
java/lang/Boolean	compare	
java/lang/Boolean	compareTo	
java/lang/Boolean	equals	
java/lang/Boolean	hashCode	
java/lang/Boolean	parseBoolean	
java/lang/Boolean	toString	
java/lang/Boolean	valueOf	
java/lang/Byte
java/lang/Byte	<init>	
java/lang/Byte	byteValue	
java/lang/Byte	compare	
java/lang/Byte	compareTo	
java/lang/Byte	doubleValue	
java/lang/Byte	equals	
java/lang/Byte	floatValue	
java/lang/Byte	hashCode	
java/lang/Byte	intValue	
java/lang/Byte	longValue	
java/lang/Byte	parseByte	(Ljava/lang/String;)B
java/lang/Byte	shortValue	
java/lang/Byte	toString	()Ljava/lang/String;
java/lang/Byte	toString	(B)Ljava/lang/String;
java/lang/Byte	valueOf	(B)Ljava/lang/Byte;
java/lang/Byte	valueOf	(Ljava/lang/String;)Ljava/lang/Byte;
java/lang/CharSequence
java/lang/Character
java/lang/Character	<init>	
java/lang/Character	charValue	
java/lang/Character	compare	
java/lang/Character	compareTo	
java/lang/Character	equals	
java/lang/Character	hashCode	
java/lang/Character	isDigit	
java/lang/Character	isLetter	
java/lang/Character	toLowerCase	
java/lang/Character	toString	
java/lang/Character	toUpperCase	
java/lang/Character	valueOf	
java/lang/Class
java/lang/Class	<init>	
java/lang/Class	getName	
java/lang/Class	getName	()Ljava/lang/String;
java/lang/Class	name	Ljava/lang/String;
java/lang/Class	toString	()Ljava/lang/String;
java/lang/ClassCastException
java/lang/Cloneable
java/lang/Comparable
java/lang/Comparable	compareTo	(Ljava/lang/Object;)I
java/lang/Double
java/lang/Double	<init>	
java/lang/Double	byteValue	
java/lang/Double	compare	
java/lang/Double	compareTo	
java/lang/Double	doubleValue	
java/lang/Double	equals	
java/lang/Double	floatValue	
java/lang/Double	hashCode	
java/lang/Double	intValue	
java/lang/Double	longValue	
java/lang/Double	parseDouble	(Ljava/lang/String;)D
java/lang/Double	shortValue	
java/lang/Double	toString	()Ljava/lang/String;
java/lang/Double	toString	(D)Ljava/lang/String;
java/lang/Double	valueOf	(D)Ljava/lang/Double;
java/lang/Double	valueOf	(Ljava/lang/String;)Ljava/lang/Double;
java/lang/Enum
java/lang/Enum	<init>	
java/lang/Enum	compareTo	
java/lang/Enum	equals	
java/lang/Enum	hashCode	
java/lang/Enum	name	
java/lang/Enum	ordinal	
java/lang/Enum	toString	
java/lang/Enum	valueOf	(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Enum;
java/lang/Error
java/lang/Exception
java/lang/Exception	<init>	
java/lang/Exception	addSuppressed	
java/lang/Exception	getCause	
java/lang/Exception	getMessage	
java/lang/Exception	getSuppressed	
java/lang/ExceptionInInitializerError
java/lang/Float
java/lang/Float	<init>	
java/lang/Float	byteValue	
java/lang/Float	compare	
java/lang/Float	compareTo	
java/lang/Float	doubleValue	
java/lang/Float	equals	
java/lang/Float	floatToIntBits	
java/lang/Float	floatValue	
java/lang/Float	hashCode	
java/lang/Float	intValue	
java/lang/Float	longValue	
java/lang/Float	parseFloat	(Ljava/lang/String;)F
java/lang/Float	shortValue	
java/lang/Float	toString	()Ljava/lang/String;
java/lang/Float	toString	(F)Ljava/lang/String;
java/lang/Float	valueOf	(F)Ljava/lang/Float;
java/lang/Float	valueOf	(Ljava/lang/String;)Ljava/lang/Float;
java/lang/IllegalArgumentException
java/lang/IllegalMonitorStateException
java/lang/IllegalStateException
java/lang/IllegalThreadStateException
java/lang/IndexOutOfBoundsException
java/lang/Integer
java/lang/Integer	<init>	
java/lang/Integer	byteValue	
java/lang/Integer	compare	
java/lang/Integer	compareTo	
java/lang/Integer	doubleValue	
java/lang/Integer	equals	
java/lang/Integer	floatValue	
java/lang/Integer	hashCode	
java/lang/Integer	intValue	
java/lang/Integer	longValue	
java/lang/Integer	parseInt	(Ljava/lang/String;)I
java/lang/Integer	shortValue	
java/lang/Integer	toString	()Ljava/lang/String;
java/lang/Integer	toString	(I)Ljava/lang/String;
java/lang/Integer	valueOf	(I)Ljava/lang/Integer;
java/lang/Integer	valueOf	(Ljava/lang/String;)Ljava/lang/Integer;
java/lang/InterruptedException
java/lang/Iterable
java/lang/Iterable	iterator	()Ljava/util/Iterator;
java/lang/Long
java/lang/Long	<init>	
java/lang/Long	byteValue	
java/lang/Long	compare	
java/lang/Long	compareTo	
java/lang/Long	doubleValue	
java/lang/Long	equals	
java/lang/Long	floatValue	
java/lang/Long	hashCode	
java/lang/Long	intValue	
java/lang/Long	longValue	
java/lang/Long	parseLong	(Ljava/lang/String;)J
java/lang/Long	shortValue	
java/lang/Long	toString	()Ljava/lang/String;
java/lang/Long	toString	(J)Ljava/lang/String;
java/lang/Long	valueOf	(J)Ljava/lang/Long;
java/lang/Long	valueOf	(Ljava/lang/String;)Ljava/lang/Long;
java/lang/Math
java/lang/Math	<init>	()V
java/lang/Math	E	D
java/lang/Math	PI	D
java/lang/Math	abs	
java/lang/Math	abs	(D)D
java/lang/Math	abs	(F)F
java/lang/Math	abs	(I)I
java/lang/Math	abs	(J)J
java/lang/Math	atan2	
java/lang/Math	atan2	(DD)D
java/lang/Math	ceil	
java/lang/Math	ceil	(D)D
java/lang/Math	cos	
java/lang/Math	cos	(D)D
java/lang/Math	exp	
java/lang/Math	exp	(D)D
java/lang/Math	floor	
java/lang/Math	floor	(D)D
java/lang/Math	log	
java/lang/Math	log	(D)D
java/lang/Math	log10	
java/lang/Math	log10	(D)D
java/lang/Math	max	
java/lang/Math	max	(DD)D
java/lang/Math	max	(FF)F
java/lang/Math	max	(II)I
java/lang/Math	max	(JJ)J
java/lang/Math	min	
java/lang/Math	min	(DD)D
java/lang/Math	min	(FF)F
java/lang/Math	min	(II)I
java/lang/Math	min	(JJ)J
java/lang/Math	pow	
java/lang/Math	pow	(DD)D
java/lang/Math	round	
java/lang/Math	round	(D)J
java/lang/Math	round	(F)I
java/lang/Math	sin	
java/lang/Math	sin	(D)D
java/lang/Math	sqrt	
java/lang/Math	sqrt	(D)D
java/lang/Math	tan	
java/lang/Math	tan	(D)D
java/lang/Math	toDegrees	
java/lang/Math	toDegrees	(D)D
java/lang/Math	toRadians	
java/lang/Math	toRadians	(D)D
java/lang/NegativeArraySizeException
java/lang/NullPointerException
java/lang/Number
java/lang/NumberFormatException
java/lang/Object
java/lang/Object	<init>	
java/lang/Object	clone	
java/lang/Object	equals	
java/lang/Object	getClass	()Ljava/lang/Class;
java/lang/Object	hashCode	
java/lang/Object	notify	()V
java/lang/Object	notifyAll	()V
java/lang/Object	toString	
java/lang/Object	wait	()V
java/lang/Object	wait	(J)V
java/lang/OutOfMemoryError
java/lang/Runnable
java/lang/Runnable	run	()V
java/lang/RuntimeException
java/lang/RuntimeException	<init>	
java/lang/RuntimeException	addSuppressed	
java/lang/RuntimeException	getCause	
java/lang/RuntimeException	getMessage	
java/lang/RuntimeException	getSuppressed	
java/lang/Short
java/lang/Short	<init>	
java/lang/Short	byteValue	
java/lang/Short	compare	
java/lang/Short	compareTo	
java/lang/Short	doubleValue	
java/lang/Short	equals	
java/lang/Short	floatValue	
java/lang/Short	hashCode	
java/lang/Short	intValue	
java/lang/Short	longValue	
java/lang/Short	parseShort	(Ljava/lang/String;)S
java/lang/Short	shortValue	
java/lang/Short	toString	()Ljava/lang/String;
java/lang/Short	toString	(S)Ljava/lang/String;
java/lang/Short	valueOf	(Ljava/lang/String;)Ljava/lang/Short;
java/lang/Short	valueOf	(S)Ljava/lang/Short;
java/lang/StackOverflowError
java/lang/String
java/lang/String	<init>	([B)V
java/lang/String	<init>	([BII)V
java/lang/String	charAt	
java/lang/String	compareTo	
java/lang/String	concat	
java/lang/String	contains	
java/lang/String	endsWith	
java/lang/String	equals	
java/lang/String	equalsIgnoreCase	
java/lang/String	format	(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
java/lang/String	getBytes	
java/lang/String	hashCode	
java/lang/String	indexOf	
java/lang/String	isEmpty	
java/lang/String	lastIndexOf	
